TP,Transect,Site,Acropora,Cyano_mat,Hard_coral,Lyngba,Macroalgae,Montipora,Other_benthic_invert,Other_branching,Other_calcifier,Other_substrate,Sediment,Soft_coral,Turf,Turf_sediment_matrix,totalhardcoral
April,EB01,EB,26.75,7.333333333,0.511904762,1,0.138888889,1.5,0,0.916666667,0.166666667,0.555555556,1,0.333333333,1.5,10,65.5
April,EB11,EB,12.65,15.05,0.121428571,1.2,0.2875,3.4,0.033333333,0.15,1,0.5,2.1,0.1,6.1,13.7,34.1
April,EB02,EB,0.05,9,0.45,0.9,0.4125,12.65,0.033333333,3.75,0.4,0.5,9.4,0.2,3.6,15.3,39.2
April,EB05,EB,6.5,8.2,0.292857143,2.1,0.858333333,4.15,0.433333333,1.75,0.275,1.4,7.9,0.2,3,14.1,28.9
April,EB06,EB,1.65,5.15,0.2,1.8,0.925,1.95,0.266666667,0,0.75,3.2,11,0.45,2.4,28,10
April,EB07,EB,0,12.9,0.585714286,2.9,0.675,10.35,0.033333333,0.6,0.375,0.233333333,5.1,0.5,0.9,15.7,30.1
April,SB01,SB,10.7,8.4,0.492857143,4,0.975,3.8,0.066666667,0.05,0.675,0.6,2.3,0.2,3.1,9.3,36
April,SB02,SB,0.85,15.45,0.164285714,1.9,0.966666667,4.5,0.066666667,1.2,0.725,0.033333333,1.7,0.3,2,21.1,15.4
April,SB03,SB,0.45,10.5,0.571428571,1.9,0.591666667,7.15,0.066666667,2.3,0.275,1.1,8.1,0.35,2.6,19.1,27.8
April,SB04,SB,10.4,3.45,0.757142857,2,0.420833333,6.15,0.166666667,6.55,0.375,0.266666667,0.9,0.5,3.5,16,56.8
April,SB05,SB,6.454545455,2.318181818,0.220779221,1.727272727,0.295454545,12.22727273,0.090909091,9.136363636,0.545454545,0.636363636,1.818181818,0.409090909,1.636363636,19.18181818,58.72727273
April,SB06,SB,0.666666667,13.55555556,0.301587302,2.555555556,0.171296296,16.94444444,0.037037037,0.277777778,0.222222222,0.777777778,5.666666667,0.277777778,1.666666667,15,40
December,EB01,EB,16.4,0.05,0.235714286,9.8,0.758333333,3.65,0.366666667,0,0.3,0.133333333,4.1,0,8.5,13.2,43.4
December,EB11,EB,0.7,0.5,0.157142857,26.8,0.6125,3.3,0.1,2.85,0.975,0.8,7.8,0,2.5,24.7,15.9
December,EB02,EB,0.05,0.05,1.25,25.4,0.354166667,10.35,0.033333333,0.25,0.275,1.233333333,7.7,0,5.4,9.2,38.8
December,EB05,EB,1.9,0.15,0.342857143,12.8,0.958333333,1.4,0.1,0,0.8,0.433333333,14.1,0.05,7.1,26.4,11.4
December,EB06,EB,1.75,0.05,0.15,16.9,0.516666667,3.1,0.2,0.15,0.15,10.6,6.8,1,4.2,12.5,12.1
December,EB07,EB,0.4375,0.5,0.589285714,9.375,0.541666667,5.9375,0.125,0.25,0.1875,6.291666667,12.625,0.1875,2.75,19.375,21.5
December,SB01,SB,5,0.15,0.228571429,30.4,0.383333333,6.8,0,0.05,0.45,0.666666667,6.2,0,7.4,15.8,26.9
December,SB02,SB,19.90909091,0.090909091,0.090909091,14.72727273,0.382575758,1.681818182,0.03030303,1.363636364,0.181818182,0.818181818,3.909090909,0.045454545,5.454545455,16,47.18181818
December,SB03,SB,6.166666667,0.166666667,0.46031746,22.44444444,0.583333333,0.111111111,0.740740741,2.777777778,0.166666667,1.555555556,6.555555556,0,3.555555556,21,24.55555556
December,SB04,SB,1.5,0.1,0.764285714,9.3,0.675,6.2,0.033333333,6.1,0.35,0.5,3.7,0.05,4.8,24.4,38.3
December,SB05,SB,4.863636364,0.181818182,0.201298701,6,0.496212121,13.40909091,0.060606061,5.409090909,0.340909091,1.212121212,2.363636364,0.136363636,4.545454545,19.18181818,50.18181818
December,SB06,SB,2.166666667,0.666666667,0.087301587,18.33333333,0.842592593,8.444444444,0.259259259,1.777777778,0.861111111,0.962962963,5.555555556,0,5.777777778,15.66666667,26